category,room_count,bathroom_count,size,price,city,region,price_per_m2,log_price,budget_tier,size_tier,cluster
Appartements,2,1,80.0,380.0,Ariana,Autres villes,4.75,2.5809,low,medium,1
Locations de vacances,1,1,90.0,70.0,Ariana,Autres villes,0.78,1.8513,very_low,medium,2
Locations de vacances,1,1,70.0,80.0,Ariana,Autres villes,1.14,1.9085,very_low,medium,2
Appartements,2,1,100.0,670.0,Ariana,Borj Louzir,6.7,2.8267,low,medium,1
"Magasins, Commerces et Locaux industriels",2,1,20.0,650.0,Ariana,Borj Louzir,32.5,2.8136,low,small,2
"Magasins, Commerces et Locaux industriels",1,1,40.0,450.0,Ariana,Ariana Ville,11.25,2.6542,low,small,2
Maisons et Villas,5,3,220.0,2000.0,Ariana,Chotrana,9.09,3.3012,high,extra_large,2
Appartements,3,1,180.0,300.0,Ariana,Borj Louzir,1.67,2.4786,very_low,large,1
Appartements,3,1,250.0,500.0,Ariana,Ariana Ville,2.0,2.6998,low,extra_large,1
Appartements,2,1,80.0,400.0,Ariana,Ghazela,5.0,2.6031,low,medium,1
Maisons et Villas,3,1,130.0,1250.0,Ariana,Ennasr,9.62,3.0973,medium,large,2
"Magasins, Commerces et Locaux industriels",1,1,65.0,4000.0,Ariana,Jardins D'el Menzah,61.54,3.6022,high,medium,2
Appartements,1,1,90.0,175.0,Ariana,Ghazela,1.94,2.2455,very_low,medium,1
"Magasins, Commerces et Locaux industriels",2,2,430.0,3500.0,Ariana,La Soukra,8.14,3.5442,high,extra_large,2
Appartements,2,1,75.0,475.0,Ariana,Raoued,6.33,2.6776,low,medium,1
Maisons et Villas,5,2,500.0,1000.0,Ariana,Autres villes,2.0,3.0004,medium,extra_large,2
Appartements,2,1,80.0,90.0,Ariana,Ennasr,1.12,1.959,very_low,medium,1
Maisons et Villas,5,2,450.0,2500.0,Ariana,Autres villes,5.56,3.3981,high,extra_large,2
"Magasins, Commerces et Locaux industriels",4,1,120.0,120.0,Ariana,Autres villes,1.0,2.0828,very_low,large,2
Appartements,2,1,100.0,1000.0,Ariana,Ennasr,10.0,3.0004,medium,medium,1
Appartements,2,1,80.0,420.0,Ariana,Ghazela,5.25,2.6243,low,medium,1
"Magasins, Commerces et Locaux industriels",1,2,220.0,1000.0,Ariana,La Soukra,4.55,3.0004,medium,extra_large,2
Appartements,1,2,110.0,1200.0,Ariana,Autres villes,10.91,3.0795,medium,large,1
Appartements,3,1,160.0,1200.0,Ariana,Ennasr,7.5,3.0795,medium,large,1
Maisons et Villas,2,1,120.0,330.0,Ariana,Raoued,2.75,2.5198,low,large,2
Appartements,2,1,75.0,90.0,Ariana,Autres villes,1.2,1.959,very_low,medium,1
Appartements,3,2,160.0,1360.0,Ariana,La Soukra,8.5,3.1339,medium,large,1
Appartements,2,1,108.0,90.0,Ariana,Autres villes,0.83,1.959,very_low,large,1
"Magasins, Commerces et Locaux industriels",1,1,100.0,1800.0,Ariana,Ariana Ville,18.0,3.2555,high,medium,2
Maisons et Villas,3,1,130.0,1200.0,Ariana,Jardins D'el Menzah,9.23,3.0795,medium,large,2
Appartements,2,1,68.0,700.0,Ariana,Ariana Ville,10.29,2.8457,low,medium,1
Appartements,4,2,230.0,1800.0,Ariana,La Soukra,7.83,3.2555,high,extra_large,1
Appartements,2,1,100.0,490.0,Ariana,Ghazela,4.9,2.6911,low,medium,1
Appartements,3,2,110.0,1000.0,Ariana,Ariana,9.09,3.0004,medium,large,1
Colocations,2,1,75.0,130.0,Ariana,Ariana,1.73,2.1173,very_low,medium,1
Locations de vacances,1,1,50.0,85.0,Ariana,Ennasr,1.7,1.9345,very_low,small,2
Locations de vacances,2,1,70.0,90.0,Ariana,Ennasr,1.29,1.959,very_low,medium,2
Appartements,1,1,65.0,800.0,Ariana,Ennasr,12.31,2.9036,medium,medium,1
Appartements,1,1,83.0,950.0,Ariana,La Soukra,11.45,2.9782,medium,medium,1
Appartements,2,2,120.0,1200.0,Ariana,Jardins D'el Menzah,10.0,3.0795,medium,large,1
Appartements,1,1,50.0,300.0,Ariana,Borj Louzir,6.0,2.4786,very_low,small,1
Appartements,2,1,110.0,900.0,Ariana,Ariana Ville,8.18,2.9547,medium,large,1
Bureaux et Plateaux,4,2,400.0,3000.0,Ariana,Autres villes,7.5,3.4773,high,extra_large,1
"Magasins, Commerces et Locaux industriels",1,0,100.0,650.0,Ariana,Jardins D'el Menzah,6.5,2.8136,low,medium,2
Appartements,3,1,500.0,1360.0,Ariana,La Soukra,2.72,3.1339,medium,extra_large,1
Maisons et Villas,2,1,200.0,130.0,Ariana,Autres villes,0.65,2.1173,very_low,large,2
Appartements,1,1,27.0,70.0,Ariana,Autres villes,2.59,1.8513,very_low,small,1
Appartements,1,1,70.0,830.0,Ariana,Jardins D'el Menzah,11.86,2.9196,medium,medium,1
Appartements,2,2,120.0,100.0,Ariana,Ennasr,0.83,2.0043,very_low,large,1
Appartements,2,1,98.0,550.0,Ariana,Raoued,5.61,2.7412,low,medium,1
Appartements,2,1,60.0,380.0,Ariana,Borj Louzir,6.33,2.5809,low,medium,1
Appartements,3,1,85.0,150.0,Ariana,Ghazela,1.76,2.179,very_low,medium,1
Appartements,2,1,130.0,750.0,Ariana,La Soukra,5.77,2.8756,medium,large,1
Appartements,2,1,120.0,700.0,Ariana,La Soukra,5.83,2.8457,low,large,1
Appartements,4,2,110.0,830.0,Ariana,Autres villes,7.55,2.9196,medium,large,1
Appartements,3,2,140.0,1400.0,Ariana,Autres villes,10.0,3.1464,medium,large,1
Maisons et Villas,2,1,130.0,650.0,Ariana,Ghazela,5.0,2.8136,low,large,2
Maisons et Villas,4,1,110.0,1300.0,Ariana,Ennasr,11.82,3.1143,medium,large,2
Appartements,2,1,90.0,90.0,Ariana,Autres villes,1.0,1.959,very_low,medium,1
Appartements,2,2,100.0,850.0,Ariana,La Soukra,8.5,2.9299,medium,medium,1
Appartements,1,1,80.0,120.0,Ariana,La Soukra,1.5,2.0828,very_low,medium,1
Appartements,3,1,130.0,1400.0,Ariana,Jardins D'el Menzah,10.77,3.1464,medium,large,1
Maisons et Villas,3,1,90.0,470.0,Ariana,La Soukra,5.22,2.673,low,medium,2
Appartements,1,1,85.0,950.0,Ariana,La Soukra,11.18,2.9782,medium,medium,1
Appartements,3,1,130.0,120.0,Ariana,Autres villes,0.92,2.0828,very_low,large,1
Appartements,3,1,80.0,450.0,Ariana,Borj Louzir,5.62,2.6542,low,medium,1
Maisons et Villas,4,2,350.0,1700.0,Ariana,Autres villes,4.86,3.2307,high,extra_large,2
Maisons et Villas,4,2,300.0,800.0,Ariana,Autres villes,2.67,2.9036,medium,extra_large,2
Appartements,1,1,40.0,300.0,Ariana,Ghazela,7.5,2.4786,very_low,small,1
Maisons et Villas,2,1,100.0,290.0,Ariana,Chotrana,2.9,2.4639,very_low,medium,2
Maisons et Villas,2,1,80.0,380.0,Ariana,Ariana,4.75,2.5809,low,medium,2
Maisons et Villas,2,1,90.0,250.0,Ariana,Raoued,2.78,2.3997,very_low,medium,2
Appartements,3,1,110.0,790.0,Ariana,La Soukra,7.18,2.8982,medium,large,1
Appartements,2,1,100.0,400.0,Ariana,Raoued,4.0,2.6031,low,medium,1
Bureaux et Plateaux,2,1,90.0,900.0,Ariana,Ennasr,10.0,2.9547,medium,medium,1
Maisons et Villas,3,1,130.0,370.0,Ariana,La Soukra,2.85,2.5694,low,large,2
Appartements,4,2,180.0,1200.0,Ariana,Ariana,6.67,3.0795,medium,large,1
Maisons et Villas,6,3,350.0,2850.0,Ariana,Ariana,8.14,3.455,high,extra_large,2
Bureaux et Plateaux,3,1,131.0,2500.0,Ariana,Ghazela,19.08,3.3981,high,large,1
Bureaux et Plateaux,2,1,100.0,1600.0,Ariana,Ghazela,16.0,3.2044,high,medium,1
Appartements,2,1,65.0,600.0,Ariana,Ariana,9.23,2.7789,low,medium,1
Appartements,3,2,150.0,550.0,Ariana,Borj Louzir,3.67,2.7412,low,large,1
Appartements,3,1,80.0,800.0,Ariana,Ennasr,10.0,2.9036,medium,medium,1
Appartements,2,1,60.0,650.0,Ariana,Ennasr,10.83,2.8136,low,medium,1
Locations de vacances,1,1,60.0,70.0,Ariana,Ennasr,1.17,1.8513,very_low,medium,2
Maisons et Villas,3,1,155.0,465.0,Ariana,Mnihla,3.0,2.6684,low,large,2
Appartements,2,1,95.0,90.0,Ariana,Autres villes,0.95,1.959,very_low,medium,1
Appartements,2,1,95.0,90.0,Ariana,Autres villes,0.95,1.959,very_low,medium,1
Appartements,1,1,50.0,650.0,Ariana,Ennasr,13.0,2.8136,low,small,1
Appartements,1,1,80.0,90.0,Ariana,La Soukra,1.12,1.959,very_low,medium,1
Appartements,3,1,130.0,650.0,Ariana,Mnihla,5.0,2.8136,low,large,1
Appartements,3,1,105.0,750.0,Ariana,Ghazela,7.14,2.8756,medium,large,1
Appartements,3,1,150.0,650.0,Ariana,La Soukra,4.33,2.8136,low,large,1
Appartements,1,1,70.0,280.0,Ariana,Autres villes,4.0,2.4487,very_low,medium,1
Appartements,2,1,90.0,750.0,Ariana,Ariana,8.33,2.8756,medium,medium,1
Maisons et Villas,4,1,100.0,530.0,Ariana,Ghazela,5.3,2.7251,low,medium,2
Appartements,4,1,110.0,600.0,Ariana,Ariana,5.45,2.7789,low,large,1
Appartements,3,2,200.0,2300.0,Ariana,Ennasr,11.5,3.3619,high,large,1
"Magasins, Commerces et Locaux industriels",2,1,160.0,800.0,Ariana,La Soukra,5.0,2.9036,medium,large,2
Appartements,2,2,140.0,1250.0,Ariana,Ennasr,8.93,3.0973,medium,large,1
Appartements,2,1,110.0,1100.0,Ariana,Ennasr,10.0,3.0418,medium,large,1
Appartements,2,2,150.0,1500.0,Ariana,Ennasr,10.0,3.1764,medium,large,1
Appartements,3,1,85.0,330.0,Ariana,Raoued,3.88,2.5198,low,medium,1
"Magasins, Commerces et Locaux industriels",1,1,200.0,1400.0,Ariana,La Soukra,7.0,3.1464,medium,large,2
Appartements,3,2,135.0,900.0,Ariana,La Soukra,6.67,2.9547,medium,large,1
Appartements,3,2,130.0,1400.0,Ariana,La Soukra,10.77,3.1464,medium,large,1
Appartements,1,1,66.0,650.0,Ariana,Jardins D'el Menzah,9.85,2.8136,low,medium,1
Appartements,1,1,36.0,400.0,Ariana,Ariana Ville,11.11,2.6031,low,small,1
Appartements,1,1,70.0,830.0,Ariana,Jardins D'el Menzah,11.86,2.9196,medium,medium,1
Appartements,1,1,90.0,90.0,Ariana,Autres villes,1.0,1.959,very_low,medium,1
Locations de vacances,1,1,90.0,90.0,Ariana,Autres villes,1.0,1.959,very_low,medium,2
Locations de vacances,1,1,90.0,90.0,Ariana,Autres villes,1.0,1.959,very_low,medium,2
Locations de vacances,1,1,90.0,90.0,Ariana,Autres villes,1.0,1.959,very_low,medium,2
Appartements,2,1,80.0,580.0,Ariana,Ariana,7.25,2.7642,low,medium,1
Appartements,3,1,130.0,1400.0,Ariana,Jardins D'el Menzah,10.77,3.1464,medium,large,1
Appartements,2,1,100.0,230.0,Ariana,Borj Louzir,2.3,2.3636,very_low,medium,1
Appartements,1,1,60.0,650.0,Ariana,Jardins D'el Menzah,10.83,2.8136,low,medium,1
Appartements,2,1,100.0,800.0,Ariana,La Soukra,8.0,2.9036,medium,medium,1
Locations de vacances,2,1,70.0,80.0,Ariana,Ennasr,1.14,1.9085,very_low,medium,2
Appartements,3,1,100.0,700.0,Ariana,Borj Louzir,7.0,2.8457,low,medium,1
Appartements,3,3,190.0,2500.0,Ariana,Ennasr,13.16,3.3981,high,large,1
Bureaux et Plateaux,7,4,400.0,3000.0,Ariana,Ariana Ville,7.5,3.4773,high,extra_large,1
Appartements,1,1,90.0,90.0,Ariana,Autres villes,1.0,1.959,very_low,medium,1
Appartements,1,1,70.0,1350.0,Ariana,La Soukra,19.29,3.1307,medium,medium,1
Appartements,2,1,100.0,850.0,Ariana,La Soukra,8.5,2.9299,medium,medium,1
Appartements,3,2,140.0,1000.0,Ariana,Chotrana,7.14,3.0004,medium,large,1
Appartements,1,1,80.0,900.0,Ariana,La Soukra,11.25,2.9547,medium,medium,1
Appartements,1,1,90.0,90.0,Ariana,Autres villes,1.0,1.959,very_low,medium,1
Appartements,1,1,90.0,90.0,Ariana,Autres villes,1.0,1.959,very_low,medium,1
Bureaux et Plateaux,2,1,83.0,900.0,Ariana,Autres villes,10.84,2.9547,medium,medium,1
Appartements,1,1,95.0,750.0,Ariana,Jardins D'el Menzah,7.89,2.8756,medium,medium,1
Appartements,2,1,120.0,700.0,Ariana,Ghazela,5.83,2.8457,low,large,1
Appartements,2,1,150.0,1400.0,Ariana,Ennasr,9.33,3.1464,medium,large,1
Appartements,1,1,50.0,500.0,Ariana,Ennasr,10.0,2.6998,low,small,1
Colocations,3,3,400.0,400.0,Ariana,La Soukra,1.0,2.6031,low,extra_large,2
Appartements,2,1,70.0,480.0,Ariana,Borj Louzir,6.86,2.6821,low,medium,1
Appartements,3,2,130.0,950.0,Ariana,Jardins D'el Menzah,7.31,2.9782,medium,large,1
Appartements,3,1,85.0,900.0,Ariana,Autres villes,10.59,2.9547,medium,medium,1
Appartements,1,1,45.0,500.0,Ariana,Jardins D'el Menzah,11.11,2.6998,low,small,1
Appartements,1,1,80.0,750.0,Ariana,La Soukra,9.38,2.8756,medium,medium,1
Bureaux et Plateaux,2,2,90.0,800.0,Ariana,Jardins D'el Menzah,8.89,2.9036,medium,medium,1
Appartements,4,1,117.0,550.0,Ariana,Raoued,4.7,2.7412,low,large,1
Appartements,1,1,70.0,830.0,Ariana,Jardins D'el Menzah,11.86,2.9196,medium,medium,1
Maisons et Villas,5,3,400.0,3700.0,Ariana,La Soukra,9.25,3.5683,high,extra_large,2
Maisons et Villas,4,3,350.0,3500.0,Ariana,La Soukra,10.0,3.5442,high,extra_large,2
Colocations,4,2,150.0,197.0,Ariana,Autres villes,1.31,2.2967,very_low,large,1
Appartements,1,1,85.0,1000.0,Ariana,Ennasr,11.76,3.0004,medium,medium,1
Locations de vacances,2,1,70.0,360.0,Ariana,Autres villes,5.14,2.5575,low,medium,2
Maisons et Villas,3,2,200.0,650.0,Ariana,Ariana,3.25,2.8136,low,large,2
Appartements,2,1,90.0,800.0,Ariana,Ariana,8.89,2.9036,medium,medium,1
Appartements,3,2,130.0,1200.0,Ariana,La Soukra,9.23,3.0795,medium,large,1
Maisons et Villas,2,1,120.0,350.0,Ariana,Chotrana,2.92,2.5453,low,large,2
Maisons et Villas,3,2,160.0,310.0,Ariana,Raoued,1.94,2.4928,low,large,2
Maisons et Villas,3,1,110.0,750.0,Ariana,La Soukra,6.82,2.8756,medium,large,2
Appartements,4,2,150.0,1600.0,Ariana,Ariana Ville,10.67,3.2044,high,large,1
Appartements,2,1,90.0,500.0,Ariana,Ariana Ville,5.56,2.6998,low,medium,1
Appartements,3,1,100.0,380.0,Ariana,Ariana Ville,3.8,2.5809,low,medium,1
Appartements,1,1,62.0,80.0,Ariana,Autres villes,1.29,1.9085,very_low,medium,1
"Magasins, Commerces et Locaux industriels",2,2,420.0,2500.0,Ariana,La Soukra,5.95,3.3981,high,extra_large,2
Appartements,2,1,100.0,700.0,Ariana,Ghazela,7.0,2.8457,low,medium,1
Appartements,2,1,95.0,850.0,Ariana,Ennasr,8.95,2.9299,medium,medium,1
"Magasins, Commerces et Locaux industriels",1,1,250.0,1200.0,Ariana,La Soukra,4.8,3.0795,medium,extra_large,2
Appartements,2,2,120.0,700.0,Ariana,La Soukra,5.83,2.8457,low,large,1
Appartements,3,1,100.0,450.0,Ariana,Autres villes,4.5,2.6542,low,medium,1
Bureaux et Plateaux,1,1,20.0,650.0,Ariana,Autres villes,32.5,2.8136,low,small,1
Appartements,4,1,83.0,500.0,Ariana,Borj Louzir,6.02,2.6998,low,medium,1
Appartements,3,1,70.0,435.0,Ariana,Borj Louzir,6.21,2.6395,low,medium,1
Appartements,3,1,130.0,790.0,Ariana,Borj Louzir,6.08,2.8982,medium,large,1
"Magasins, Commerces et Locaux industriels",1,1,65.0,2000.0,Ariana,La Soukra,30.77,3.3012,high,medium,2
Appartements,3,1,150.0,1200.0,Ariana,Ennasr,8.0,3.0795,medium,large,1
Maisons et Villas,3,2,140.0,1600.0,Ariana,Jardins D'el Menzah,11.43,3.2044,high,large,2
Appartements,2,1,25.0,300.0,Ariana,Borj Louzir,12.0,2.4786,very_low,small,1
Appartements,2,2,90.0,950.0,Ariana,Ennasr,10.56,2.9782,medium,medium,1
Appartements,4,1,170.0,1250.0,Ariana,La Soukra,7.35,3.0973,medium,large,1
Appartements,3,2,164.0,1800.0,Ariana,La Soukra,10.98,3.2555,high,large,1
Appartements,3,1,120.0,450.0,Ariana,La Soukra,3.75,2.6542,low,large,1
Appartements,2,1,85.0,300.0,Ariana,Raoued,3.53,2.4786,very_low,medium,1
Appartements,3,2,130.0,800.0,Ariana,Autres villes,6.15,2.9036,medium,large,1
Appartements,3,1,130.0,130.0,Ariana,La Soukra,1.0,2.1173,very_low,large,1
Appartements,3,3,145.0,610.0,Ariana,Jardins D'el Menzah,4.21,2.786,low,large,1
Appartements,4,1,130.0,1400.0,Ariana,Ennasr,10.77,3.1464,medium,large,1
Colocations,2,1,70.0,125.0,Ariana,Ghazela,1.79,2.1004,very_low,medium,1
Appartements,2,1,70.0,800.0,Ariana,Ennasr,11.43,2.9036,medium,medium,1
Appartements,2,1,120.0,1200.0,Ariana,Ariana Ville,10.0,3.0795,medium,large,1
Appartements,3,2,175.0,1200.0,Ariana,Ennasr,6.86,3.0795,medium,large,1
Appartements,3,1,120.0,700.0,Ariana,Jardins D'el Menzah,5.83,2.8457,low,large,1
Bureaux et Plateaux,3,1,170.0,1800.0,Ariana,La Soukra,10.59,3.2555,high,large,1
Maisons et Villas,3,3,240.0,1650.0,Ariana,Ariana,6.88,3.2177,high,extra_large,2
Maisons et Villas,2,1,90.0,300.0,Ariana,Raoued,3.33,2.4786,very_low,medium,2
Appartements,3,3,120.0,1800.0,Ariana,La Soukra,15.0,3.2555,high,large,1
Appartements,2,1,100.0,90.0,Ariana,Autres villes,0.9,1.959,very_low,medium,1
Appartements,1,1,60.0,700.0,Ariana,Jardins D'el Menzah,11.67,2.8457,low,medium,1
Appartements,3,1,100.0,780.0,Ariana,La Soukra,7.8,2.8927,medium,medium,1
Appartements,2,1,100.0,400.0,Ariana,Ariana,4.0,2.6031,low,medium,1
Colocations,2,1,70.0,200.0,Ariana,Ariana Ville,2.86,2.3032,very_low,medium,1
"Magasins, Commerces et Locaux industriels",2,2,200.0,1100.0,Ariana,Mnihla,5.5,3.0418,medium,large,2
Maisons et Villas,3,1,120.0,450.0,Ariana,La Soukra,3.75,2.6542,low,large,2
Appartements,2,2,120.0,700.0,Ariana,La Soukra,5.83,2.8457,low,large,1
Appartements,2,1,80.0,400.0,Ariana,Ghazela,5.0,2.6031,low,medium,1
Bureaux et Plateaux,2,1,80.0,700.0,Ariana,Ghazela,8.75,2.8457,low,medium,1
Appartements,3,1,140.0,900.0,Ariana,Ariana Ville,6.43,2.9547,medium,large,1
Appartements,4,2,110.0,790.0,Ariana,Borj Louzir,7.18,2.8982,medium,large,1
Appartements,4,1,150.0,250.0,Ariana,Ariana Ville,1.67,2.3997,very_low,large,1
Appartements,2,1,120.0,800.0,Ariana,Ghazela,6.67,2.9036,medium,large,1
Appartements,3,1,120.0,500.0,Ariana,Borj Louzir,4.17,2.6998,low,large,1
Appartements,4,2,130.0,820.0,Ariana,La Soukra,6.31,2.9143,medium,large,1
"Magasins, Commerces et Locaux industriels",1,2,1500.0,2500.0,Ariana,Chotrana,1.67,3.3981,high,extra_large,2
Appartements,3,2,147.0,1300.0,Ariana,Ghazela,8.84,3.1143,medium,large,1
Appartements,1,1,70.0,70.0,Ariana,Autres villes,1.0,1.8513,very_low,medium,1
Appartements,1,1,130.0,1000.0,Ariana,La Soukra,7.69,3.0004,medium,large,1
Appartements,2,1,119.0,1350.0,Ariana,La Soukra,11.34,3.1307,medium,large,1
Appartements,2,1,70.0,700.0,Ariana,Ariana Ville,10.0,2.8457,low,medium,1
Maisons et Villas,2,1,70.0,320.0,Ariana,Chotrana,4.57,2.5065,low,medium,2
Colocations,1,1,40.0,170.0,Ariana,Ghazela,4.25,2.233,very_low,small,1
Appartements,2,1,66.0,650.0,Ariana,Mnihla,9.85,2.8136,low,medium,1
Maisons et Villas,5,2,200.0,2000.0,Ariana,Autres villes,10.0,3.3012,high,large,2
Appartements,2,1,80.0,400.0,Ariana,Autres villes,5.0,2.6031,low,medium,1
Appartements,4,2,140.0,1800.0,Ariana,La Soukra,12.86,3.2555,high,large,1
Appartements,3,2,170.0,1800.0,Ariana,La Soukra,10.59,3.2555,high,large,1
Appartements,2,1,100.0,800.0,Ariana,Ghazela,8.0,2.9036,medium,medium,1
"Magasins, Commerces et Locaux industriels",1,2,300.0,1600.0,Ariana,Chotrana,5.33,3.2044,high,extra_large,2
Maisons et Villas,3,1,150.0,700.0,Ariana,Raoued,4.67,2.8457,low,large,2
